julianday,year,count,intDate,date,month,week,day,dailyCountCum,dailyPercentageCum
1,1996,0,9496,1996-01-01,1,1,1,0,0
2,1996,0,9497,1996-01-02,1,1,2,0,0
3,1996,0,9498,1996-01-03,1,1,3,0,0
4,1996,0,9499,1996-01-04,1,1,4,0,0
5,1996,0,9500,1996-01-05,1,1,5,0,0
6,1996,0,9501,1996-01-06,1,1,6,0,0
7,1996,0,9502,1996-01-07,1,1,7,0,0
8,1996,0,9503,1996-01-08,1,2,8,0,0
9,1996,0,9504,1996-01-09,1,2,9,0,0
10,1996,0,9505,1996-01-10,1,2,10,0,0
11,1996,0,9506,1996-01-11,1,2,11,0,0
12,1996,0,9507,1996-01-12,1,2,12,0,0
13,1996,0,9508,1996-01-13,1,2,13,0,0
14,1996,0,9509,1996-01-14,1,2,14,0,0
15,1996,0,9510,1996-01-15,1,3,15,0,0
16,1996,0,9511,1996-01-16,1,3,16,0,0
17,1996,0,9512,1996-01-17,1,3,17,0,0
18,1996,0,9513,1996-01-18,1,3,18,0,0
19,1996,0,9514,1996-01-19,1,3,19,0,0
20,1996,0,9515,1996-01-20,1,3,20,0,0
21,1996,0,9516,1996-01-21,1,3,21,0,0
22,1996,0,9517,1996-01-22,1,4,22,0,0
23,1996,0,9518,1996-01-23,1,4,23,0,0
24,1996,0,9519,1996-01-24,1,4,24,0,0
25,1996,0,9520,1996-01-25,1,4,25,0,0
26,1996,0,9521,1996-01-26,1,4,26,0,0
27,1996,0,9522,1996-01-27,1,4,27,0,0
28,1996,0,9523,1996-01-28,1,4,28,0,0
29,1996,0,9524,1996-01-29,1,5,29,0,0
30,1996,0,9525,1996-01-30,1,5,30,0,0
31,1996,0,9526,1996-01-31,1,5,31,0,0
32,1996,0,9527,1996-02-01,2,5,32,0,0
33,1996,0,9528,1996-02-02,2,5,33,0,0
34,1996,0,9529,1996-02-03,2,5,34,0,0
35,1996,0,9530,1996-02-04,2,5,35,0,0
36,1996,0,9531,1996-02-05,2,6,36,0,0
37,1996,0,9532,1996-02-06,2,6,37,0,0
38,1996,0,9533,1996-02-07,2,6,38,0,0
39,1996,0,9534,1996-02-08,2,6,39,0,0
40,1996,0,9535,1996-02-09,2,6,40,0,0
41,1996,0,9536,1996-02-10,2,6,41,0,0
42,1996,0,9537,1996-02-11,2,6,42,0,0
43,1996,0,9538,1996-02-12,2,7,43,0,0
44,1996,0,9539,1996-02-13,2,7,44,0,0
