time,latitude,longitude,year,month,day,station,salmon_smolt_count_per_day,date,week,dailyCountCum,dailyPercentageCum
1970-04-13T00:00:00Z,-9.578038,53.922202,1970,4,13,Newport,4,1970-04-13,15,4,0.02786485545106235
1970-04-14T00:00:00Z,-9.578038,53.922202,1970,4,14,Newport,1,1970-04-14,15,5,0.034831069313827935
1970-04-17T00:00:00Z,-9.578038,53.922202,1970,4,17,Newport,5,1970-04-17,16,10,0.06966213862765587
1970-04-18T00:00:00Z,-9.578038,53.922202,1970,4,18,Newport,7,1970-04-18,16,17,0.11842563566701499
1970-04-19T00:00:00Z,-9.578038,53.922202,1970,4,19,Newport,36,1970-04-19,16,53,0.3692093347265761
1970-04-20T00:00:00Z,-9.578038,53.922202,1970,4,20,Newport,17,1970-04-20,16,70,0.48763497039359105
1970-04-21T00:00:00Z,-9.578038,53.922202,1970,4,21,Newport,5,1970-04-21,16,75,0.522466039707419
1970-04-22T00:00:00Z,-9.578038,53.922202,1970,4,22,Newport,28,1970-04-22,16,103,0.7175200278648555
1970-04-23T00:00:00Z,-9.578038,53.922202,1970,4,23,Newport,33,1970-04-23,17,136,0.9474050853361199
1970-04-24T00:00:00Z,-9.578038,53.922202,1970,4,24,Newport,83,1970-04-24,17,219,1.5256008359456636
1970-04-25T00:00:00Z,-9.578038,53.922202,1970,4,25,Newport,88,1970-04-25,17,307,2.138627655869035
1970-04-26T00:00:00Z,-9.578038,53.922202,1970,4,26,Newport,61,1970-04-26,17,368,2.563566701497736
1970-04-27T00:00:00Z,-9.578038,53.922202,1970,4,27,Newport,78,1970-04-27,17,446,3.106931382793452
1970-04-28T00:00:00Z,-9.578038,53.922202,1970,4,28,Newport,64,1970-04-28,17,510,3.5527690700104495
1970-04-29T00:00:00Z,-9.578038,53.922202,1970,4,29,Newport,62,1970-04-29,17,572,3.984674329501916
1970-04-30T00:00:00Z,-9.578038,53.922202,1970,4,30,Newport,117,1970-04-30,18,689,4.7997213514454895
1970-05-01T00:00:00Z,-9.578038,53.922202,1970,5,1,Newport,68,1970-05-01,18,757,5.273423894113549
1970-05-02T00:00:00Z,-9.578038,53.922202,1970,5,2,Newport,289,1970-05-02,18,1046,7.2866597004528035
1970-05-03T00:00:00Z,-9.578038,53.922202,1970,5,3,Newport,141,1970-05-03,18,1187,8.268895855102752
1970-05-04T00:00:00Z,-9.578038,53.922202,1970,5,4,Newport,186,1970-05-04,18,1373,9.564611633577151
1970-05-05T00:00:00Z,-9.578038,53.922202,1970,5,5,Newport,443,1970-05-05,18,1816,12.650644374782305
1970-05-06T00:00:00Z,-9.578038,53.922202,1970,5,6,Newport,1721,1970-05-06,18,3537,24.63949843260188
1970-05-07T00:00:00Z,-9.578038,53.922202,1970,5,7,Newport,737,1970-05-07,19,4274,29.77359804946012
1970-05-08T00:00:00Z,-9.578038,53.922202,1970,5,8,Newport,372,1970-05-08,19,4646,32.36502960640892
1970-05-09T00:00:00Z,-9.578038,53.922202,1970,5,9,Newport,265,1970-05-09,19,4911,34.211076280041794
1970-05-10T00:00:00Z,-9.578038,53.922202,1970,5,10,Newport,413,1970-05-10,19,5324,37.088122605363985
1970-05-11T00:00:00Z,-9.578038,53.922202,1970,5,11,Newport,350,1970-05-11,19,5674,39.526297457331935
1970-05-12T00:00:00Z,-9.578038,53.922202,1970,5,12,Newport,1104,1970-05-12,19,6778,47.216997561825146
1970-05-13T00:00:00Z,-9.578038,53.922202,1970,5,13,Newport,1066,1970-05-13,19,7844,54.64298153953327
1970-05-14T00:00:00Z,-9.578038,53.922202,1970,5,14,Newport,1136,1970-05-14,20,8980,62.556600487634974
1970-05-15T00:00:00Z,-9.578038,53.922202,1970,5,15,Newport,861,1970-05-15,20,9841,68.55451062347613
1970-05-16T00:00:00Z,-9.578038,53.922202,1970,5,16,Newport,190,1970-05-16,20,10031,69.878091257401593
1970-05-17T00:00:00Z,-9.578038,53.922202,1970,5,17,Newport,28,1970-05-17,20,10059,70.07314524555905
1970-05-18T00:00:00Z,-9.578038,53.922202,1970,5,18,Newport,34,1970-05-18,20,10093,70.30999651689307
1970-05-19T00:00:00Z,-9.578038,53.922202,1970,5,19,Newport,46,1970-05-19,20,10139,70.63044235458028
1970-05-20T00:00:00Z,-9.578038,53.922202,1970,5,20,Newport,53,1970-05-20,20,10192,70.99965168930686
1970-05-21T00:00:00Z,-9.578038,53.922202,1970,5,21,Newport,26,1970-05-21,21,10218,71.18077324973878
1970-05-22T00:00:00Z,-9.578038,53.922202,1970,5,22,Newport,188,1970-05-22,21,10406,72.4904214559387
1970-05-23T00:00:00Z,-9.578038,53.922202,1970,5,23,Newport,476,1970-05-23,21,10882,75.80633925461512
1970-05-24T00:00:00Z,-9.578038,53.922202,1970,5,24,Newport,374,1970-05-24,21,11256,78.41170323928944
1970-05-25T00:00:00Z,-9.578038,53.922202,1970,5,25,Newport,513,1970-05-25,21,11769,81.9853709508882
1970-05-26T00:00:00Z,-9.578038,53.922202,1970,5,26,Newport,847,1970-05-26,21,12616,87.88575409265064
1970-05-27T00:00:00Z,-9.578038,53.922202,1970,5,27,Newport,297,1970-05-27,21,12913,89.95471960989202
1970-05-28T00:00:00Z,-9.578038,53.922202,1970,5,28,Newport,415,1970-05-28,22,13328,92.84569836293974
1970-05-29T00:00:00Z,-9.578038,53.922202,1970,5,29,Newport,144,1970-05-29,22,13472,93.84883315917799
1970-05-30T00:00:00Z,-9.578038,53.922202,1970,5,30,Newport,88,1970-05-30,22,13560,94.46185997910136
1970-05-31T00:00:00Z,-9.578038,53.922202,1970,5,31,Newport,41,1970-05-31,22,13601,94.74747474747474
1970-06-01T00:00:00Z,-9.578038,53.922202,1970,6,1,Newport,111,1970-06-01,22,13712,95.52072448624173
1970-06-02T00:00:00Z,-9.578038,53.922202,1970,6,2,Newport,116,1970-06-02,22,13828,96.32880529432254
1970-06-03T00:00:00Z,-9.578038,53.922202,1970,6,3,Newport,182,1970-06-03,22,14010,97.59665621734587
1970-06-04T00:00:00Z,-9.578038,53.922202,1970,6,4,Newport,141,1970-06-04,23,14151,98.57889237199582
1970-06-05T00:00:00Z,-9.578038,53.922202,1970,6,5,Newport,96,1970-06-05,23,14247,99.24764890282131
1970-06-06T00:00:00Z,-9.578038,53.922202,1970,6,6,Newport,36,1970-06-06,23,14283,99.49843260188088
1970-06-07T00:00:00Z,-9.578038,53.922202,1970,6,7,Newport,16,1970-06-07,23,14299,99.60989202368513
1970-06-08T00:00:00Z,-9.578038,53.922202,1970,6,8,Newport,16,1970-06-08,23,14315,99.72135144548938
1970-06-09T00:00:00Z,-9.578038,53.922202,1970,6,9,Newport,10,1970-06-09,23,14325,99.79101358411702
1970-06-10T00:00:00Z,-9.578038,53.922202,1970,6,10,Newport,6,1970-06-10,23,14331,99.83281086729363
1970-06-11T00:00:00Z,-9.578038,53.922202,1970,6,11,Newport,10,1970-06-11,24,14341,99.90247300592128
1970-06-12T00:00:00Z,-9.578038,53.922202,1970,6,12,Newport,3,1970-06-12,24,14344,99.92337164750957
1970-06-13T00:00:00Z,-9.578038,53.922202,1970,6,13,Newport,2,1970-06-13,24,14346,99.93730407523512
1970-06-14T00:00:00Z,-9.578038,53.922202,1970,6,14,Newport,2,1970-06-14,24,14348,99.95123650296064
1970-06-15T00:00:00Z,-9.578038,53.922202,1970,6,15,Newport,2,1970-06-15,24,14350,99.96516893068618
1970-07-12T00:00:00Z,-9.578038,53.922202,1970,7,12,Newport,5,1970-07-12,28,14355,100
1971-03-30T00:00:00Z,-9.578038,53.922202,1971,3,30,Newport,1,1971-03-30,13,1,0.007211365111415591
1971-03-31T00:00:00Z,-9.578038,53.922202,1971,3,31,Newport,1,1971-03-31,13,2,0.014422730222831182
1971-04-04T00:00:00Z,-9.578038,53.922202,1971,4,4,Newport,1,1971-04-04,14,3,0.02163409533424677
1971-04-05T00:00:00Z,-9.578038,53.922202,1971,4,5,Newport,1,1971-04-05,14,4,0.028845460445662365
1971-04-09T00:00:00Z,-9.578038,53.922202,1971,4,9,Newport,2,1971-04-09,15,6,0.04326819066849354
1971-04-11T00:00:00Z,-9.578038,53.922202,1971,4,11,Newport,6,1971-04-11,15,12,0.08653638133698709
1971-04-12T00:00:00Z,-9.578038,53.922202,1971,4,12,Newport,3,1971-04-12,15,15,0.10817047667123385
1971-04-13T00:00:00Z,-9.578038,53.922202,1971,4,13,Newport,3,1971-04-13,15,18,0.12980457200548065
1971-04-14T00:00:00Z,-9.578038,53.922202,1971,4,14,Newport,4,1971-04-14,15,22,0.158650032451143
1971-04-15T00:00:00Z,-9.578038,53.922202,1971,4,15,Newport,13,1971-04-15,15,35,0.2523977788995457
