date,day,count,dailyCountCum,dailyPercentageCum,year,month,week,quartile
28/04/1997,118,54,181,32.73,1997,4,17,25
30/04/1997,120,160,307,55.52,1997,4,18,50
02/05/1997,122,127,468,84.63,1997,5,18,75
05/05/2001,125,7,12,28.57,2001,5,18,25
09/05/2001,129,13,25,59.52,2001,5,19,50
10/05/2001,130,13,38,90.48,2001,5,19,75
01/05/2004,122,187,734,31.26,2004,5,18,25
04/05/2004,125,1065,1870,79.64,2004,5,18,50
04/05/2004,125,1065,1870,79.64,2004,5,18,75
30/04/2005,120,97,338,27.21,2005,4,18,25
01/05/2005,121,291,629,50.64,2005,5,18,50
02/05/2005,122,447,1076,86.63,2005,5,18,75
03/05/2006,123,492,961,37.55,2006,5,18,25
05/05/2006,125,314,1506,58.85,2006,5,18,50
08/05/2006,128,893,2551,99.69,2006,5,19,75
27/04/2007,117,162,643,29.44,2007,4,17,25
03/05/2007,123,75,1111,50.87,2007,5,18,50
09/05/2007,129,621,2054,94.05,2007,5,19,75
11/05/2008,132,219,238,44.07,2008,5,19,25
12/05/2008,133,140,378,70,2008,5,19,50
13/05/2008,134,65,443,82.04,2008,5,20,75
15/04/2009,105,646,913,33.63,2009,4,15,25
30/04/2009,120,1153,2176,80.15,2009,4,18,50
30/04/2009,120,1153,2176,80.15,2009,4,18,75
29/04/2010,119,291,303,39.5,2010,4,17,25
30/04/2010,120,100,403,52.54,2010,4,18,50
02/05/2010,122,300,703,91.66,2010,5,18,75
08/05/2011,128,953,1316,86.75,2011,5,19,25
08/05/2011,128,953,1316,86.75,2011,5,19,50
08/05/2011,128,953,1316,86.75,2011,5,19,75
17/04/2012,108,50,50,54.95,2012,4,16,25
17/04/2012,108,50,50,54.95,2012,4,16,50
19/04/2012,110,36,86,94.51,2012,4,16,75
09/05/2013,129,1780,1789,97.02,2013,5,19,25
09/05/2013,129,1780,1789,97.02,2013,5,19,50
09/05/2013,129,1780,1789,97.02,2013,5,19,75
08/05/2014,128,407,693,36.15,2014,5,19,25
10/05/2014,130,1224,1917,100,2014,5,19,50
10/05/2014,130,1224,1917,100,2014,5,19,75
03/05/2015,123,299,349,67.77,2015,5,18,25
03/05/2015,123,299,349,67.77,2015,5,18,50
05/05/2015,125,166,515,100,2015,5,18,75
08/05/2016,129,177,187,37.7,2016,5,19,25
10/05/2016,131,309,496,100,2016,5,19,50
10/05/2016,131,309,496,100,2016,5,19,75
08/05/2017,128,40,61,27.6,2017,5,19,25
16/05/2017,136,98,207,93.67,2017,5,20,50
16/05/2017,136,98,207,93.67,2017,5,20,75
02/05/2018,122,325,325,80.65,2018,5,18,25
02/05/2018,122,325,325,80.65,2018,5,18,50
02/05/2018,122,325,325,80.65,2018,5,18,75
24/04/2019,114,80,80,36.04,2019,4,17,25
27/04/2019,117,85,165,74.32,2019,4,17,50
28/04/2019,118,6,171,77.03,2019,4,17,75
