date,day,count,dailyCountCum,dailyPercentageCum,year,month,week
05/05/1997,125,538,538,42.73,1997,5,18
06/05/1997,126,268,806,64.02,1997,5,18
06/05/1997,126,205,1011,80.3,1997,5,18
07/05/1997,127,248,1259,100,1997,5,19
04/04/2002,94,13,13,1.23,2002,4,14
05/04/2002,95,4,17,1.61,2002,4,14
06/04/2002,96,4,21,1.99,2002,4,14
07/04/2002,97,5,26,2.46,2002,4,14
08/04/2002,98,2,28,2.65,2002,4,14
10/04/2002,100,0,28,2.65,2002,4,15
11/04/2002,101,2,30,2.84,2002,4,15
12/04/2002,102,3,33,3.13,2002,4,15
13/04/2002,103,2,35,3.32,2002,4,15
14/04/2002,104,2,37,3.51,2002,4,15
15/04/2002,105,4,41,3.89,2002,4,15
16/04/2002,106,6,47,4.45,2002,4,16
17/04/2002,107,6,53,5.02,2002,4,16
18/04/2002,108,5,58,5.5,2002,4,16
19/04/2002,109,8,66,6.26,2002,4,16
20/04/2002,110,6,72,6.82,2002,4,16
21/04/2002,111,31,103,9.76,2002,4,16
22/04/2002,112,39,142,13.46,2002,4,16
23/04/2002,113,89,231,21.9,2002,4,17
24/04/2002,114,33,264,25.02,2002,4,17
25/04/2002,115,27,291,27.58,2002,4,17
26/04/2002,116,76,367,34.79,2002,4,17
27/04/2002,117,25,392,37.16,2002,4,17
28/04/2002,118,Trap not fished,NA,NA,2002,4,17
29/04/2002,119,Trap not fished,NA,NA,2002,4,17
07/05/2002,127,9,401,38.01,2002,5,19
08/05/2002,128,3,404,38.29,2002,5,19
09/05/2002,129,18,422,40,2002,5,19
10/05/2002,130,58,480,45.5,2002,5,19
11/05/2002,131,38,518,49.1,2002,5,19
14/05/2002,134,46,564,53.46,2002,5,20
16/05/2002,136,130,694,65.78,2002,5,20
17/05/2002,137,70,764,72.42,2002,5,20
18/05/2002,138,74,838,79.43,2002,5,20
19/05/2002,139,37,875,82.94,2002,5,20
20/05/2002,140,101,976,92.51,2002,5,20
21/05/2002,141,79,1055,100,2002,5,21
