date,day,count,dailyCountCum,dailyPercentageCum,year,month,week
08/04/2002,98,3,3,0.68,2002,4,14
10/04/2002,100,0,3,0.68,2002,4,15
11/04/2002,101,1,4,0.9,2002,4,15
12/04/2002,102,5,9,2.03,2002,4,15
13/04/2002,103,8,17,3.83,2002,4,15
14/04/2002,104,3,20,4.5,2002,4,15
15/04/2002,105,2,22,4.95,2002,4,15
16/04/2002,106,7,29,6.53,2002,4,16
17/04/2002,107,12,41,9.23,2002,4,16
18/04/2002,108,5,46,10.36,2002,4,16
19/04/2002,109,20,66,14.86,2002,4,16
20/04/2002,110,16,82,18.47,2002,4,16
21/04/2002,111,11,93,20.95,2002,4,16
22/04/2002,112,56,149,33.56,2002,4,16
23/04/2002,113,66,215,48.42,2002,4,17
24/04/2002,114,19,234,52.7,2002,4,17
25/04/2002,115,18,252,56.76,2002,4,17
26/04/2002,116,11,263,59.23,2002,4,17
27/04/2002,117,31,294,66.22,2002,4,17
28/04/2002,118,Trap not fished,NA,NA,2002,4,17
29/04/2002,119,Trap not fished,NA,NA,2002,4,17
07/05/2002,127,19,313,70.5,2002,5,19
08/05/2002,128,21,334,75.23,2002,5,19
09/05/2002,129,15,349,78.6,2002,5,19
10/05/2002,130,51,400,90.09,2002,5,19
11/05/2002,131,44,444,100,2002,5,19
01/04/2003,91,2,2,0.27,2003,4,13
03/04/2003,93,0,2,0.27,2003,4,14
06/04/2003,96,1,3,0.4,2003,4,14
08/04/2003,98,0,3,0.4,2003,4,14
09/04/2003,99,3,6,0.8,2003,4,15
13/04/2003,103,0,6,0.8,2003,4,15
14/04/2003,104,33,39,5.18,2003,4,15
15/04/2003,105,58,97,12.88,2003,4,15
17/04/2003,107,37,134,17.8,2003,4,16
21/04/2003,111,87,221,29.35,2003,4,16
22/04/2003,112,21,242,32.14,2003,4,16
24/04/2003,114,23,265,35.19,2003,4,17
25/04/2003,115,141,406,53.92,2003,4,17
26/04/2003,116,189,595,79.02,2003,4,17
27/04/2003,117,53,648,86.06,2003,4,17
28/04/2003,118,9,657,87.25,2003,4,17
28/04/2003,118,47,704,93.49,2003,4,17
29/04/2003,119,49,753,100,2003,4,17
NA,NA,NA,NA,NA,NA,NA,NA
