year,week,start_wk,count,weeklyCountCum,weeklyPercentageCum,start_wk_date,wk_start_dayOfYear,quartile
1975,19,05/05/1975,2420,3692,46.39939675757195,1975-05-05T00:00:00Z,125,25
1975,20,12/05/1975,2707,6399,80.41975618951867,1975-05-12T00:00:00Z,132,50
1975,20,12/05/1975,2707,6399,80.41975618951867,1975-05-12T00:00:00Z,132,75
1976,19,03/05/1976,3084,3716,59.858247422680414,1976-05-03T00:00:00Z,124,25
1976,19,03/05/1976,3084,3716,59.858247422680414,1976-05-03T00:00:00Z,124,50
1976,20,10/05/1976,2105,5821,93.7661082474227,1976-05-10T00:00:00Z,131,75
1977,18,02/05/1977,548,998,33.98025195778005,1977-05-02T00:00:00Z,122,25
1977,20,16/05/1977,502,1610,54.817841334695274,1977-05-16T00:00:00Z,136,50
1977,22,30/05/1977,623,2732,93.0200885257065,1977-05-30T00:00:00Z,150,75
1978,19,08/05/1978,253,839,34.10569105691057,1978-05-08T00:00:00Z,128,25
1978,20,15/05/1978,745,1584,64.39024390243902,1978-05-15T00:00:00Z,135,50
1978,21,22/05/1978,448,2032,82.60162601626017,1978-05-22T00:00:00Z,142,75
1979,20,14/05/1979,309,703,38.331515812431846,1979-05-14T00:00:00Z,134,25
1979,21,21/05/1979,382,1085,59.16030534351145,1979-05-21T00:00:00Z,141,50
1979,22,28/05/1979,323,1408,76.77208287895311,1979-05-28T00:00:00Z,148,75
1980,20,12/05/1980,6783,8722,70.14637284864082,1980-05-12T00:00:00Z,133,25
1980,20,12/05/1980,6783,8722,70.14637284864082,1980-05-12T00:00:00Z,133,50
1980,21,19/05/1980,1943,10665,85.77288081068039,1980-05-19T00:00:00Z,140,75
1981,18,27/04/1981,2098,2760,25.57449962935508,1981-04-27T00:00:00Z,117,25
1981,19,04/05/1981,4150,6910,64.02891030392882,1981-05-04T00:00:00Z,124,50
1981,20,11/05/1981,2232,9142,84.71089696071164,1981-05-11T00:00:00Z,131,75
1982,19,10/05/1982,4438,6458,50.28811711571406,1982-05-10T00:00:00Z,130,25
