julianday,year,count,intDate,date,month,week,day,dailyCountCum,dailyPercentageCum
1,1986,0,5844,1986-01-01,1,1,1,0,0
2,1986,0,5845,1986-01-02,1,1,2,0,0
3,1986,0,5846,1986-01-03,1,1,3,0,0
4,1986,0,5847,1986-01-04,1,1,4,0,0
5,1986,0,5848,1986-01-05,1,1,5,0,0
6,1986,0,5849,1986-01-06,1,1,6,0,0
7,1986,0,5850,1986-01-07,1,1,7,0,0
8,1986,0,5851,1986-01-08,1,2,8,0,0
9,1986,0,5852,1986-01-09,1,2,9,0,0
10,1986,0,5853,1986-01-10,1,2,10,0,0
11,1986,0,5854,1986-01-11,1,2,11,0,0
12,1986,0,5855,1986-01-12,1,2,12,0,0
13,1986,0,5856,1986-01-13,1,2,13,0,0
14,1986,0,5857,1986-01-14,1,2,14,0,0
15,1986,0,5858,1986-01-15,1,3,15,0,0
16,1986,0,5859,1986-01-16,1,3,16,0,0
17,1986,0,5860,1986-01-17,1,3,17,0,0
18,1986,0,5861,1986-01-18,1,3,18,0,0
19,1986,0,5862,1986-01-19,1,3,19,0,0
20,1986,0,5863,1986-01-20,1,3,20,0,0
21,1986,0,5864,1986-01-21,1,3,21,0,0
22,1986,0,5865,1986-01-22,1,4,22,0,0
23,1986,0,5866,1986-01-23,1,4,23,0,0
24,1986,0,5867,1986-01-24,1,4,24,0,0
25,1986,0,5868,1986-01-25,1,4,25,0,0
26,1986,0,5869,1986-01-26,1,4,26,0,0
27,1986,0,5870,1986-01-27,1,4,27,0,0
28,1986,0,5871,1986-01-28,1,4,28,0,0
29,1986,0,5872,1986-01-29,1,5,29,0,0
30,1986,0,5873,1986-01-30,1,5,30,0,0
31,1986,0,5874,1986-01-31,1,5,31,0,0
32,1986,0,5875,1986-02-01,2,5,32,0,0
33,1986,0,5876,1986-02-02,2,5,33,0,0
34,1986,0,5877,1986-02-03,2,5,34,0,0
35,1986,0,5878,1986-02-04,2,5,35,0,0
36,1986,0,5879,1986-02-05,2,6,36,0,0
37,1986,0,5880,1986-02-06,2,6,37,0,0
38,1986,0,5881,1986-02-07,2,6,38,0,0
39,1986,0,5882,1986-02-08,2,6,39,0,0
