date,day,count,count_cpue_hours,year,month,week,dailyCountCum,dailyPercentageCum,quartile
2005-04-10,100,161,18.4,2005,4,15,2109,27.02460276781138,25
2005-04-17,107,928,86.3,2005,4,16,4731,60.62275756022552,50
2005-04-24,114,1302,127,2005,4,17,6982,89.46694003075346,75
2006-04-20,110,391,44.7,2006,4,16,2155,26.7934850180281,25
2006-04-24,114,773,79.3,2006,4,17,4521,56.21036926519955,50
2006-04-27,117,356,39.6,2006,4,17,6107,75.92937958473206,75
2007-04-16,106,235,23.5,2007,4,16,1085,25.309073944483323,25
2007-04-20,110,391,37.2,2007,4,16,2423,56.519710753440634,50
2007-04-22,112,498,39.1,2007,4,16,3236,75.4840214602286,75
2008-04-13,103,452,41.1,2008,4,15,1467,25.154320987654323,25
2008-04-22,112,544,51.8,2008,4,17,2951,50.60013717421125,50
2008-04-24,114,922,82,2008,4,17,4512,77.36625514403292,75
2009-04-16,106,788,73.3,2009,4,16,2582,33.88006823251542,25
2009-04-20,110,356,38.5,2009,4,16,4046,53.09014565017714,50
2009-04-25,115,622,62.2,2009,4,17,6061,79.53024537462275,75
2010-04-18,108,261,28.2,2010,4,16,1165,29.40434124179707,25
2010-04-22,112,191,19.6,2010,4,16,2044,51.590106007067135,50
2010-04-27,117,148,15.2,2010,4,17,2996,75.61837455830388,75
2011-04-20,110,460,42.8,2011,4,16,1056,26.158038147138964,25
2011-04-24,114,246,22.4,2011,4,17,2263,56.056477582363144,50
2011-04-26,116,293,27.9,2011,4,17,3042,75.35298488976963,75
2012-04-14,104,1080,102.9,2012,4,15,1277,40.87708066581306,25
2012-04-15,105,411,44.4,2012,4,16,1688,54.03329065300896,50
2012-04-19,109,150,19.4,2012,4,16,2466,78.93725992317542,75
2013-04-27,117,279,32.8,2013,4,17,1429,28.511572226656025,25
2013-04-29,119,815,85.8,2013,4,17,2509,50.05985634477255,50
2013-05-02,122,561,59.1,2013,5,18,4079,81.38467677573823,75
2015-04-15,105,410,43.9,2015,4,15,1155,25.955056179775283,25
2015-04-19,109,530,55.8,2015,4,16,2490,55.955056179775276,50
2015-04-21,111,513,57.5,2015,4,16,3444,77.3932584269663,75
2016-04-24,114,286,32.4,2016,4,17,1119,27.794336810730254,25
2016-04-30,120,341,42.6,2016,4,18,2020,50.173869846001,50
2016-05-03,123,599,76.5,2016,5,18,3249,80.70044709388972,75
2017-04-22,112,144,26.2,2017,4,16,661,31.238185255198488,25
2017-04-30,120,419,33.5,2017,4,18,1323,62.523629489603024,50
2017-05-01,121,589,65.4,2017,5,18,1912,90.35916824196597,75
2018-04-19,109,277,30.5,2018,4,16,1242,31.37155847436221,25
2018-04-22,112,207,24.4,2018,4,16,2075,52.412225309421565,50
2018-04-27,117,1082,132.6,2018,4,17,3171,80.09598383430159,75
2019-04-23,113,133,NA,2019,4,17,863,27.266982622432863,25
2019-04-26,116,282,NA,2019,4,17,1672,52.82780410742496,50
2019-04-29,119,185,NA,2019,4,17,2387,75.41864139020538,75
