id,Year,sex,scientificName,vernacularName,length(m)
82132,1928,Male,Megaptera novaeangliae,Humpback,12.79
82135,1928,Female,Megaptera novaeangliae,Humpback,14.07
82275,1928,Female,Megaptera novaeangliae,Humpback,12.79
82276,1928,Female,Megaptera novaeangliae,Humpback,14.07
82277,1928,Female,Megaptera novaeangliae,Humpback,13.43
82278,1928,Female,Megaptera novaeangliae,Humpback,14.07
82279,1928,Female,Megaptera novaeangliae,Humpback,15.03
82280,1928,Female,Megaptera novaeangliae,Humpback,15.35
82281,1928,Female,Megaptera novaeangliae,Humpback,13.43
82282,1928,Female,Megaptera novaeangliae,Humpback,15.35
82283,1928,Female,Megaptera novaeangliae,Humpback,13.43
82284,1928,Female,Megaptera novaeangliae,Humpback,15.03
82285,1928,Female,Megaptera novaeangliae,Humpback,14.07
82286,1928,Female,Megaptera novaeangliae,Humpback,13.75
82287,1928,Female,Megaptera novaeangliae,Humpback,15.66
82288,1928,Female,Megaptera novaeangliae,Humpback,15.35
82289,1928,Male,Megaptera novaeangliae,Humpback,12.79
82290,1928,Male,Megaptera novaeangliae,Humpback,14.39
82291,1928,Male,Megaptera novaeangliae,Humpback,15.35
82292,1928,Male,Megaptera novaeangliae,Humpback,11.83
82293,1928,Male,Megaptera novaeangliae,Humpback,14.07
82294,1928,Male,Megaptera novaeangliae,Humpback,14.39
82295,1928,Female,Megaptera novaeangliae,Humpback,13.75
82296,1928,Female,Megaptera novaeangliae,Humpback,13.75
82297,1928,Female,Megaptera novaeangliae,Humpback,14.07
82298,1928,Female,Megaptera novaeangliae,Humpback,11.83
82299,1928,Female,Megaptera novaeangliae,Humpback,15.35
82300,1928,Female,Megaptera novaeangliae,Humpback,13.11
82301,1928,Female,Megaptera novaeangliae,Humpback,15.03
111900,1950,Female,Megaptera novaeangliae,Humpback,13.75
111897,1950,Male,Megaptera novaeangliae,Humpback,12.79
111898,1950,Female,Megaptera novaeangliae,Humpback,13.11
111899,1950,Male,Megaptera novaeangliae,Humpback,11.51
111901,1950,Male,Megaptera novaeangliae,Humpback,12.15
111902,1950,Male,Megaptera novaeangliae,Humpback,11.83
111903,1950,Male,Megaptera novaeangliae,Humpback,13.75
111904,1950,Female,Megaptera novaeangliae,Humpback,12.79
111905,1950,Male,Megaptera novaeangliae,Humpback,11.51
111906,1950,Male,Megaptera novaeangliae,Humpback,13.75
